2005-06-14-EBPR_metabat2_bin.5
2007-09-17-EBPR_maxbin2_bin.21
2007-09-17-EBPR_maxbin2_bin.26
2007-09-17-EBPR_maxbin2_bin.28_sub
2007-09-17-EBPR_maxbin2_bin.6
2007-09-17-EBPR_metabat1_bin.19
2007-09-17-EBPR_metabat1_bin.22
2007-09-17-EBPR_metabat1_bin.23
2007-09-17-EBPR_metabat1_bin.24_sub
2007-09-17-EBPR_metabat1_bin.25
2007-09-17-EBPR_metabat1_bin.27
2007-09-17-EBPR_metabat1_bin.32
2007-09-17-EBPR_metabat1_bin.43
2007-09-17-EBPR_metabat1_bin.7
2007-09-17-EBPR_metabat2_bin.26
2007-09-17-EBPR_metabat2_bin.32
2007-09-17-EBPR_metabat2_bin.40
2007-09-17-EBPR_metabat2_bin.46
2008-04-24-EBPR_maxbin2_bin.12
2008-04-24-EBPR_maxbin2_bin.17
2008-04-24-EBPR_maxbin2_bin.20
2008-04-24-EBPR_maxbin2_bin.21
2008-04-24-EBPR_maxbin2_bin.27
2008-04-24-EBPR_maxbin2_bin.40
2008-04-24-EBPR_metabat1_bin.16
2008-04-24-EBPR_metabat1_bin.20
2008-04-24-EBPR_metabat1_bin.24
2008-04-24-EBPR_metabat2_bin.27
2009-02-02-EBPR_maxbin2_bin.10
2009-02-02-EBPR_maxbin2_bin.11
2009-02-02-EBPR_maxbin2_bin.14_sub
2009-02-02-EBPR_maxbin2_bin.17
2009-02-02-EBPR_maxbin2_bin.8_sub
2009-02-02-EBPR_metabat1_bin.32
2009-02-02-EBPR_metabat2_bin.20
2009-02-02-EBPR_metabat2_bin.33
2009-02-02-EBPR_metabat2_bin.34
2009-02-02-EBPR_metabat2_bin.38
2009-02-02-EBPR_metabat2_bin.74
2009-02-02-EBPR_metabat2_bin.75_sub
2010-07-15-EBPR_metabat1_bin.15
2010-07-15-EBPR_metabat1_bin.18
2010-07-15-EBPR_metabat1_bin.21
2010-07-15-EBPR_metabat1_bin.30
2010-07-15-EBPR_metabat1_bin.37
2010-07-15-EBPR_metabat2_bin.22
2010-07-15-EBPR_metabat2_bin.3
2010-07-15-EBPR_metabat2_bin.8
2010-10-04-EBPR_maxbin2_bin.12_sub
2010-10-04-EBPR_maxbin2_bin.13
2010-10-04-EBPR_maxbin2_bin.16_sub
2010-10-04-EBPR_maxbin2_bin.18
2010-10-04-EBPR_maxbin2_bin.6_sub
2010-10-04-EBPR_metabat1_bin.10
2010-10-04-EBPR_metabat1_bin.14
2010-10-04-EBPR_metabat1_bin.15
2010-10-04-EBPR_metabat1_bin.21
2010-10-04-EBPR_metabat1_bin.22
2010-10-04-EBPR_metabat1_bin.24
2010-10-04-EBPR_metabat2_bin.10
2010-10-04-EBPR_metabat2_bin.11
2010-10-04-EBPR_metabat2_bin.18_sub
2010-10-04-EBPR_metabat2_bin.27
2010-10-04-EBPR_metabat2_bin.29_sub
2010-10-04-EBPR_metabat2_bin.3
2010-10-04-EBPR_metabat2_bin.36_sub
2010-10-04-EBPR_metabat2_bin.49
2011-01-10-EBPR_maxbin2_bin.11
2011-01-10-EBPR_maxbin2_bin.24
2011-01-10-EBPR_metabat1_bin.12_sub
2011-01-10-EBPR_metabat1_bin.19
2011-01-10-EBPR_metabat1_bin.22
2011-01-10-EBPR_metabat2_bin.24_sub
2011-01-10-EBPR_metabat2_bin.61_sub
2011-01-10-EBPR_metabat2_bin.9
2012-01-23-EBPR_maxbin2_bin.10
2012-01-23-EBPR_maxbin2_bin.12
2012-01-23-EBPR_maxbin2_bin.14
2012-01-23-EBPR_maxbin2_bin.18
2012-01-23-EBPR_maxbin2_bin.19
2012-01-23-EBPR_metabat1_bin.23
2012-01-23-EBPR_metabat1_bin.29
2012-01-23-EBPR_metabat1_bin.32_sub
2012-01-23-EBPR_metabat1_bin.37
2012-01-23-EBPR_metabat1_bin.40
2012-01-23-EBPR_metabat1_bin.5
2012-01-23-EBPR_metabat2_bin.15
2012-01-23-EBPR_metabat2_bin.21
2012-01-23-EBPR_metabat2_bin.24
2012-01-23-EBPR_metabat2_bin.31
2012-01-23-EBPR_metabat2_bin.34
2012-01-23-EBPR_metabat2_bin.35_sub
2012-01-23-EBPR_metabat2_bin.37
2012-01-23-EBPR_metabat2_bin.46
2012-01-23-EBPR_metabat2_bin.9
2013-05-23-EBPR_maxbin2_bin.11
2013-05-23-EBPR_maxbin2_bin.15
2013-05-23-EBPR_maxbin2_bin.18
2013-05-23-EBPR_maxbin2_bin.24
2013-05-23-EBPR_maxbin2_bin.26
2013-05-23-EBPR_maxbin2_bin.38
2013-05-23-EBPR_metabat1_bin.14
2013-05-23-EBPR_metabat1_bin.19_sub
2013-05-23-EBPR_metabat1_bin.25
2013-05-23-EBPR_metabat1_bin.32
2013-05-23-EBPR_metabat1_bin.35
2013-05-23-EBPR_metabat1_bin.37
2013-05-23-EBPR_metabat1_bin.7
2013-05-23-EBPR_metabat2_bin.24
2013-05-23-EBPR_metabat2_bin.29
2013-05-23-EBPR_metabat2_bin.44
2013-05-23-EBPR_metabat2_bin.46
2013-05-23-EBPR_metabat2_bin.47
2013-05-23-EBPR_metabat2_bin.4_sub
2013-05-23-EBPR_metabat2_bin.50
2013-05-23-EBPR_metabat2_bin.51
2013-05-23-EBPR_metabat2_bin.57_sub
2013-05-23-EBPR_metabat2_bin.69_sub
2013-05-23-EBPR_metabat2_bin.7
